step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,9.319934201712152e-06,0.017961161501894075,54.69940035943465,11.100496463377983,8.663932893498757,11.949883659373029,11.949883659373029,2.850158081733641
1,2.610325289214994e-12,0.0011125825262466907,98.59372950993291,22.437619915299884,17.241190731011024,23.97063217924384,23.97063217924384,4.10192464693706
2,3.846256646507694e-14,2.3185897646259116e-14,874.0992268032346,224.21902095728828,156.97483277074514,217.96780402532164,217.96780402532164,14.21832377005895
3,7.10542735760099e-17,0.0,1068.2067770944327,274.3322673872274,192.2973017304451,268.2322232301701,268.2322232301701,15.639697130605654
4,0.0,2.2071233729546896e-15,1074.2288663161683,274.3322673872274,192.2973017304451,268.2322232301701,268.2322232301701,15.639697130605654
5,0.0,0.0,1605.1664291746386,389.12199641631105,275.59045537525526,383.3606386445683,383.3606386445683,27.97825825617439
6,0.0,0.0,1493.2629267981547,389.12199641631105,275.59045537525526,383.3606386445683,383.3606386445683,27.97825825617439
7,0.0,7.377410414623463,1551.853964789296,389.12199641631105,275.59045537525526,383.3606386445683,383.3606386445683,27.97825825617439
8,4.4408920985006255e-18,0.0,2079.3743672184896,531.222420694999,374.69152759812266,525.3023618207759,525.3023618207759,30.67174572885362
9,0.0,4.959491441810647,9905.996805534714,2464.2772118738185,1763.4082444547869,2456.973587808897,2456.973587808897,53.238915724263755
10,0.0,0.0,14771.158961537298,4063.900176559542,2762.521341226267,3743.1032465589105,3743.1032465589105,68.33661936623592
11,0.0,0.0,14935.600332578844,4063.900176559542,2762.521341226267,3743.1032465589105,3743.1032465589105,68.33661936623592
12,0.6071597361384751,9.097748832737661,16274.85958633614,4685.408683910084,3036.6035953453234,3974.0286611764586,3974.0286611764586,72.92751373222733
13,0.0,23.723568693991837,14971.571659862484,4685.408683910084,3036.6035953453234,3974.0286611764586,3974.0286611764586,72.92751373222733
14,0.0,123.83965240356527,497605.6375153806,113500.86175353226,88180.52290837801,119422.40372990986,119422.40372990986,338.8837856970011
15,0.0,0.0,504125.9536476744,113417.20890770058,87931.58267517743,119141.84325074227,119141.84325074227,415.95504060074154
16,0.0,351.4467945014828,458749.97723046696,113417.20890770058,87931.58267517743,119141.84325074227,119141.84325074227,415.95504060074154
17,0.0,351.4467945014828,491588.1450109328,113417.20890770058,87931.58267517743,119141.84325074227,119141.84325074227,415.95504060074154
18,0.0,0.0,487375.093301431,113417.20890770058,87931.58267517743,119141.84325074227,119141.84325074227,415.95504060074154
19,0.0,0.0,483904.52532120096,113417.20890770058,87931.58267517743,119141.84325074227,119141.84325074227,415.95504060074154
