step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.030301599918992124,0.03315722373487765,13.401828551399907,3.057732299232484,1.9096479682592826,2.639989824356574,2.639989824356574,1.2966278385272016
1,0.03582395021266575,0.03861898325895547,12.158854746309965,2.824951340055535,1.7180973016917873,2.3914053592112774,2.3914053592112774,1.1971059775374737
2,0.03785610135607978,0.04008810014999609,11.881330855839277,2.762826455689674,1.6761207427697409,2.321551592671719,2.321551592671719,1.1809015827296327
3,0.03308953868832909,0.03547763307355599,12.235010423065503,3.0453842430593396,1.7630002513174152,2.4554953735716407,2.4554953735716407,1.1904654392104679
4,0.03465602150939785,0.03707409944425207,12.071523708746032,2.986731097742011,1.7297392838206818,2.412359498511819,2.412359498511819,1.1759768544038935
5,0.03395071051476533,0.036177061240603645,12.120432061368582,3.0383346898371415,1.744049567701421,2.434350856180031,2.434350856180031,1.1806106419475977
6,0.04312593125056727,0.04577245669714581,10.156419893119054,3.298219109550471,1.654066362267728,2.2608713609291677,2.2608713609291677,1.2191973390616961
7,0.03579951259176303,0.03819006527692292,10.432350664024227,3.3824922342463575,1.6913152341522486,2.3562102753863905,2.3562102753863905,1.1948528419453381
8,0.0359898619702678,0.038380126458666404,10.411131115543931,3.377587668294991,1.688794408191936,2.351257163207277,2.351257163207277,1.195060975005278
9,0.03600457393072532,0.03839545541620962,10.409642247519253,3.377278517693603,1.6886392617684582,2.3508965119154364,2.3508965119154364,1.1951295045804686
10,0.04159360481714969,0.043949120093917625,10.162736298075709,3.257818555373128,1.6290252637542466,2.2828299533957033,2.2828299533957033,2.126190202473486
11,0.03507468157266686,0.036891694240259856,10.65778779651884,3.444182400210479,1.7243565717683462,2.409061482625604,2.409061482625604,2.160190251744678
12,0.03655076978159679,0.0390633060612969,10.398120619183915,3.3721877279186137,1.686111137676035,2.3493382383227885,2.3493382383227885,2.157018980861382
13,0.03673584953298976,0.039282899942273346,10.378731724859879,3.3664603235242376,1.6832303151901673,2.3444179380516075,2.3444179380516075,2.156516390189742
14,0.03674434500026239,0.039293011891666604,10.377876850843846,3.3662091908806535,1.6831045974235423,2.344196956618135,2.344196956618135,2.1564937833884392
15,0.03674454764279918,0.03929325238282001,10.377856467133803,3.3662031847674654,1.6831015923975206,2.3441916865817882,2.3441916865817882,2.1564932340620886
16,0.03674116594427097,0.03923532181264285,10.377151031333293,3.3659082600933026,1.6829575124147664,2.3439339171770737,2.3439339171770737,2.155724593761396
17,0.03675587273579571,0.03924778925855481,10.375474247956456,3.365453388631959,1.682726787296195,2.3435328041335577,2.3435328041335577,2.1556186586535673
18,0.03674648710163818,0.039235077889130734,10.376409131144595,3.3657293056615885,1.6828646529824658,2.3437749661184593,2.3437749661184593,2.1556234041712687
19,0.03674651031896339,0.039235109163846496,10.37640680495747,3.3657286215398754,1.682864310779113,2.3437743650889513,2.3437743650889513,2.1556233900739405
