step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.052288190367274244,0.05248494954014368,16.37338878657522,2.7191811381090574,2.1967606061710794,3.082586429998596,3.082586429998596,1.1943305067041148
1,0.005958641642568743,0.009376676309449102,26.257071490589354,5.297350304373126,4.026340031804317,5.536217666952575,5.536217666952575,1.7564441746419552
2,0.0007013085581494937,0.005712553493798097,43.6253037752535,9.537882711517277,7.1781314435397,9.868270703986513,9.868270703986513,2.382296154782703
3,7.926904924351195e-05,0.006515652615191996,65.58634340819854,14.719706766406233,11.111360964124268,15.344336209695754,15.344336209695754,2.951525352661079
4,6.630798406336197e-06,0.0075583420499617925,91.28357295127782,20.695171400963297,15.687299486696451,21.751635276730028,21.751635276730028,3.480606419023634
5,7.433520271033533e-07,0.008849482233546641,112.98691319352656,25.800039602268996,19.55110802533509,27.164263194937384,27.164263194937384,3.8934892016132885
6,6.410539002374832e-08,0.010275641489078849,136.88072549645452,31.449101617543192,23.799801694836976,33.12457792694932,33.12457792694932,4.297716867504264
7,5.5018614919176885e-09,0.011429457046867555,160.91238073059634,37.02422511936655,28.050171311321257,39.1201564494946,39.1201564494946,4.66251067473448
8,6.800168754452901e-10,0.012393744219985415,180.47730547233968,41.61768706860161,31.521427752477116,44.003325764388656,44.003325764388656,4.941857016801374
9,8.29460955970041e-11,0.013241956668968205,200.20293920535732,46.21214219461763,35.00415552861826,48.92688712185198,48.92688712185198,5.201722005862543
10,1.5515132532115163e-08,0.04216362143655668,425.7685565708987,98.68101899488613,76.23249720581745,105.41311025337163,105.41311025337163,8.23936167434323
11,1.7915162890507574e-09,0.08226003398027361,645.4748173390893,152.28926804922423,116.52544809612243,160.44376703984221,160.44376703984221,10.15321328080241
12,2.389085918719431e-10,0.09784441593976707,742.2123661951364,176.37856592660432,134.32183452749916,184.6873226389509,184.6873226389509,10.884954980362828
13,2.943937713466696e-11,0.09462749042353223,752.1910441449195,179.25196743041508,136.14446123269374,187.18949561774704,187.18949561774704,10.949304973300508
14,3.5708660436138404e-12,0.09112736666389402,763.258462191463,182.40397723444758,138.16569193090078,189.9642215234121,189.9642215234121,11.02026335961155
15,2.911602070305872e-13,0.08693567359696697,776.7212778316979,186.2354729832879,140.62549151638822,193.3393527951407,193.3393527951407,11.105642219552896
16,6.191269719113312e-15,0.084582043327633,797.8091549160011,192.2385117802317,144.48347804967557,198.626194857237,198.626194857237,11.237852490469242
17,4.214406601476567e-16,0.0841165106105931,812.7293427476984,196.48877300190264,147.21718595396968,202.36693095565812,202.36693095565812,11.330395453653145
18,9.592326932761079e-17,0.08388427157700772,821.0723000856138,198.8661717049829,148.74764919320575,204.4587308192195,204.4587308192195,11.381852976585856
19,4.2854608750530477e-17,0.08371164706876187,825.7863862182783,200.2083979222186,149.61321423702975,205.64078937784626,205.64078937784626,11.410921313565785
