step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.014496452149658912,0.03307764626776873,3.8404037749886406,0.4387939366905917,0.3418986789883901,0.46946862627882857,0.46946862627882857,0.5348331332370938
1,0.016984371942013028,0.022876997945980387,4.10069193677948,0.4974668036159017,0.3932754487229589,0.5503601236748193,0.5503601236748193,0.6038561952340308
2,0.015031474385492589,0.019660090387120212,3.907300315496034,0.468553186679072,0.3588011093087563,0.5038353251161013,0.5038353251161013,0.7919558235425675
3,0.01903821407384952,0.025805883970595866,3.9860776715335673,0.49813567311316864,0.38617975598122567,0.5348050667485857,0.5348050667485857,1.0846550921900504
4,0.017037230630877347,0.026935919632256895,3.8359649798251487,0.47135133906327337,0.3594678456125342,0.5099288148155607,0.5099288148155607,0.9885304042811676
5,0.031106423740250754,0.025846698049947436,3.795773565823971,0.4428727959054321,0.3313885596732429,0.4631842351711598,0.4631842351711598,0.9536904816386365
6,0.019008081517660102,0.030370092241980923,3.9613789641553048,0.48832714214534534,0.3727831204022106,0.5222365891745592,0.5222365891745592,1.0381782219553004
7,0.029609517028014284,0.01788784558324097,3.8582464344811545,0.4795670747060058,0.3611997713375344,0.5028554286299731,0.5028554286299731,0.8673630636430613
8,0.025965326168202223,0.03079847582368936,3.9084134337993603,0.49574969132231933,0.37240811100901156,0.5178272992270517,0.5178272992270517,1.0019378376742614
9,0.020506964181067358,0.05249631139641023,3.805557432621683,0.47611066225063353,0.3757661393401174,0.5256242523465579,0.5256242523465579,0.8659681473300549
10,0.0406733194834586,0.09396722768897271,3.390882854999028,0.4103149869525277,0.2544047786623975,0.36390539099139696,0.36390539099139696,2.9831975951214376
11,0.03541098729392358,0.04449319359836391,3.8135484696668422,0.45480731302254374,0.3404563753264876,0.47811887705770717,0.47811887705770717,5.426885230958035
12,0.02541147063050685,0.07431394006591865,3.643617857674743,0.4508547337733553,0.2981890410083119,0.4235563232122553,0.4235563232122553,4.827105371713067
13,0.02428506048546385,0.026238911268203526,3.9571336608658187,0.49534274558204544,0.362684609808573,0.50605744000915,0.50605744000915,8.446036757339437
14,0.029775772487173117,0.03045908941932391,3.7829755412476387,0.44599386160305443,0.3299612963121784,0.4547917633989812,0.4547917633989812,7.778156063599202
15,0.022009663094323794,0.03708732703547111,3.94717351716149,0.4925760540916185,0.3714104645819333,0.5213205850590802,0.5213205850590802,9.143689621213724
16,0.038413483068167345,0.035653953968538675,3.833530847967666,0.41416805318295974,0.31962723006335425,0.44266197621087966,0.44266197621087966,9.051122566152237
17,0.029712817471274695,0.0622067290418491,3.9403666404863698,0.5161011305030877,0.37965158114504255,0.5125923623917369,0.5125923623917369,9.188963334838045
18,0.03321070440207722,0.04059259391018848,3.9300205316705186,0.4956422517711102,0.3758083213647877,0.5205080055079385,0.5205080055079385,9.183345343435551
19,0.04341902064257742,0.0516475230253654,3.9874867912816616,0.5128380470997042,0.4151042205322234,0.5896626717304885,0.5896626717304885,9.058116242468024
