step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,9.319934201712152e-06,0.017961161501894075,54.69940035943465,11.100496463377983,8.663932893498757,11.949883659373029,11.949883659373029,2.850158081733641
1,2.610325289214994e-12,0.0011125825262466907,98.59372950993291,22.437619915299884,17.241190731011024,23.97063217924384,23.97063217924384,4.10192464693706
2,3.846256646507694e-14,2.3185897646259116e-14,874.0992268032346,224.21902095728828,156.97483277074514,217.96780402532164,217.96780402532164,14.21832377005895
3,7.10542735760099e-17,0.0,1068.2067770944327,274.3322673872274,192.2973017304451,268.2322232301701,268.2322232301701,15.639697130605654
4,0.0,2.2071233729546896e-15,1074.2288663161683,274.3322673872274,192.2973017304451,268.2322232301701,268.2322232301701,15.639697130605654
5,0.0,0.0,1605.1664291746386,389.12199641631105,275.59045537525526,383.3606386445683,383.3606386445683,27.97825825617439
6,0.0,0.0,1493.2629267981547,389.12199641631105,275.59045537525526,383.3606386445683,383.3606386445683,27.97825825617439
7,0.0,7.377410414623463,1551.853964789296,389.12199641631105,275.59045537525526,383.3606386445683,383.3606386445683,27.97825825617439
8,4.4408920985006255e-18,0.0,2079.3743672184896,531.222420694999,374.69152759812266,525.3023618207759,525.3023618207759,30.67174572885362
9,0.0,4.959491441810647,9905.996805534714,2464.2772118738185,1763.4082444547869,2456.973587808897,2456.973587808897,53.238915724263755
10,0.0,0.0,14205.349980575618,3883.975787903787,2652.302733694622,3599.0680316645858,3599.0680316645858,66.6651078686041
11,0.0,0.0,14376.744029304955,3883.975787903787,2652.302733694622,3599.0680316645858,3599.0680316645858,66.6651078686041
12,11.14739350315974,15.180169634847402,6348.31345600124,1753.5540406038137,1130.7622769913328,1544.4681170447088,1544.4681170447088,48.25389761710657
13,3.552713678800498e-17,5.3183606183959,5981.94423016776,1753.5540406038137,1130.7622769913328,1544.4681170447088,1544.4681170447088,48.25389761710657
14,0.0,4.596047324883089,6801.7596585457095,1796.683514914611,1216.9696182737537,1665.9955417467254,1665.9955417467254,49.243476044861495
15,0.0,0.0,6823.822538207266,1797.3314374138763,1216.1939297529377,1664.1098550492097,1664.1098550492097,51.05011228185052
16,0.0,2.351193124965962,6512.6792616031025,1797.3314374138763,1216.1939297529377,1664.1098550492097,1664.1098550492097,51.05011228185052
17,0.0,0.0,7363.137468140231,1964.95731815192,1331.0023551923064,1809.8368005204777,1809.8368005204777,52.71063828656696
18,0.0,0.0,7271.6492062948,1964.95731815192,1331.0023551923064,1809.8368005204777,1809.8368005204777,52.71063828656696
19,0.0,0.0,7264.219458506624,1964.95731815192,1331.0023551923064,1809.8368005204777,1809.8368005204777,52.71063828656696
