step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.00864143402126582,0.012080309808239813,23.419023440004494,4.647055344025983,3.512751036349309,4.826503703944285,4.826503703944285,1.6505458126424086
1,4.381909431522777e-05,0.0064947963774222,68.83690061279925,15.716917284658276,11.742395185475596,16.156677365510227,16.156677365510227,3.1330334976838308
2,1.8201705186233556e-07,0.008844946884281604,121.15743503171186,28.275793161809997,21.12734711598742,29.20815839017645,29.20815839017645,4.280542612833973
3,1.8488378121078292e-09,0.010790878149005418,164.59868141251766,38.71258740444621,28.90111157127135,40.04446969406693,40.04446969406693,5.0312893080449825
4,7.849852539571805e-12,0.013573511770544566,215.46203292885878,50.94720144796054,37.99157379838503,52.73621702151788,52.73621702151788,5.784376119566621
5,6.086775528012579e-14,0.015506926061432415,259.72446771163334,61.56830245992505,45.90007805575654,63.78304461351435,63.78304461351435,6.367510543696716
6,2.1493917756742643e-16,0.01762408748755713,310.67627050598986,73.7843589501854,54.99177315146943,76.50281804205791,76.50281804205791,6.972083487702963
7,5.107025913275718e-18,0.019560977133283867,344.0694762657763,81.8467684121847,60.94533187216663,84.84055381632919,84.84055381632919,7.34022330046001
8,1.554312234475219e-18,0.020181095591105567,353.5212653062275,84.1758211463542,62.64294561709686,87.20141748151502,87.20141748151502,7.442919536740625
9,1.1102230246251564e-18,0.020329826488647413,355.91948279575575,84.77165156188772,63.07351017656811,87.8004492953097,87.8004492953097,7.468457046991993
10,1.1102230246251564e-18,0.02032982648864741,355.9194827957558,84.77165156188775,63.07351017656812,87.80044929530973,87.80044929530973,7.468457046992003
11,1.1102230246251564e-18,0.020329826488647406,355.9194827957559,84.77165156188775,63.07351017656812,87.80044929530973,87.80044929530973,7.468457046992003
12,1.1102230246251564e-18,0.020329826488647406,355.9194827957562,84.77165156188775,63.07351017656812,87.80044929530973,87.80044929530973,7.468457046992003
13,1.1102230246251564e-18,0.020329826488647406,355.9194827957561,84.77165156188775,63.07351017656812,87.80044929530973,87.80044929530973,7.468457046992003
14,1.1102230246251564e-18,0.02032982648864741,355.919482795756,84.77165156188775,63.07351017656812,87.80044929530973,87.80044929530973,7.468457046992003
15,1.1102230246251564e-18,0.020329826488647392,355.91948279575587,84.77165156188778,63.073510176568135,87.80044929530976,87.80044929530976,7.468457046992014
16,1.1102230246251564e-18,0.020329826488647392,355.91948279575604,84.77165156188778,63.073510176568135,87.80044929530976,87.80044929530976,7.468457046992014
17,1.1102230246251564e-18,0.020329826488647396,355.919482795756,84.77165156188778,63.073510176568135,87.80044929530976,87.80044929530976,7.468457046992014
18,1.1102230246251564e-18,0.020329826488647396,355.919482795756,84.77165156188778,63.073510176568135,87.80044929530976,87.80044929530976,7.468457046992014
19,1.1102230246251564e-18,0.020329826488647396,355.91948279575575,84.77165156188778,63.073510176568135,87.80044929530976,87.80044929530976,7.468457046992014
