step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,9.660258651279059e-06,0.010006215041784037,104.26592004456425,25.852573778627757,18.51403428022621,24.92755733924745,24.92755733924745,6.087615392655477
1,4.754894475621854e-12,0.02526422784076708,308.19630893726145,78.11667625385107,56.031712870764046,75.56207011880862,75.56207011880862,10.886303874910384
2,9.103828801926275e-18,0.04023499472947702,493.4647615043316,125.78651221377866,90.13772173719917,121.55908070718887,121.55908070718887,13.894357472730611
3,2.2204460492503126e-19,0.043828209269823365,535.6053287753539,136.58828737514176,97.88765352132009,132.0211309080226,132.0211309080226,14.490465661415309
4,2.2204460492503126e-19,0.043828209269823365,535.6053287753541,136.58828737514176,97.88765352132009,132.0211309080226,132.0211309080226,14.490465661415309
5,2.2204460492503126e-19,0.04382820926982336,535.6053287753539,136.5882873751418,97.88765352132012,132.0211309080226,132.0211309080226,14.490465661415337
6,2.2204460492503126e-19,0.04382820926982336,535.6053287753541,136.5882873751418,97.88765352132012,132.0211309080226,132.0211309080226,14.490465661415337
7,2.2204460492503126e-19,0.04382820926982336,535.6053287753541,136.5882873751418,97.88765352132012,132.0211309080226,132.0211309080226,14.490465661415337
8,2.2204460492503126e-19,0.04382820926982336,535.6053287753539,136.5882873751418,97.88765352132012,132.0211309080226,132.0211309080226,14.490465661415337
9,2.2204460492503126e-19,0.04382820926982336,535.6053287753539,136.5882873751418,97.88765352132012,132.0211309080226,132.0211309080226,14.490465661415337
10,2.2204460492503126e-19,0.04382820926982335,535.6053287753541,136.58828737514176,97.88765352132013,132.02113090802266,132.02113090802266,14.490465661415369
11,2.2204460492503126e-19,0.043828209269823344,535.6053287753545,136.58828737514176,97.88765352132013,132.02113090802266,132.02113090802266,14.490465661415369
12,2.2204460492503126e-19,0.04382820926982335,535.6053287753547,136.58828737514176,97.88765352132013,132.02113090802266,132.02113090802266,14.490465661415369
13,2.2204460492503126e-19,0.043828209269823344,535.6053287753541,136.58828737514176,97.88765352132013,132.02113090802266,132.02113090802266,14.490465661415369
14,2.2204460492503126e-19,0.04382820926982335,535.605328775354,136.58828737514176,97.88765352132013,132.02113090802266,132.02113090802266,14.490465661415369
15,2.2204460492503126e-19,0.04382820926982334,535.6053287753543,136.58828737514182,97.88765352132017,132.0211309080227,132.0211309080227,14.490465661415394
16,2.2204460492503126e-19,0.043828209269823344,535.6053287753543,136.58828737514182,97.88765352132017,132.0211309080227,132.0211309080227,14.490465661415394
17,2.2204460492503126e-19,0.043828209269823344,535.6053287753543,136.58828737514182,97.88765352132017,132.0211309080227,132.0211309080227,14.490465661415394
18,2.2204460492503126e-19,0.04382820926982334,535.6053287753541,136.58828737514182,97.88765352132017,132.0211309080227,132.0211309080227,14.490465661415394
19,2.2204460492503126e-19,0.04382820926982334,535.6053287753541,136.58828737514182,97.88765352132017,132.0211309080227,132.0211309080227,14.490465661415394
