step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.027344638600159826,0.027344638600159826,3.7703840480899413,0.4226701963382798,0.3249134947402949,0.454208744114953,0.454208744114953,0.6242788620642138
1,0.025562605791296406,0.025562605791296402,3.9247862127862416,0.4725885548696026,0.3646496660155326,0.508248955403976,0.508248955403976,0.6577911651120673
2,0.02502977526930492,0.02502977526930492,4.209439565435952,0.58492981222655,0.45115982109957137,0.629506176335223,0.629506176335223,0.8641862920858626
3,0.024994071924809087,0.024994071924809087,4.1089456373378175,0.5434563681213442,0.41926967460800046,0.5848697630696916,0.5848697630696916,0.8415213669931075
4,0.024988820541678624,0.024988820541678624,4.096313558349907,0.5389433237678721,0.4154667488737991,0.5796433374689403,0.5796433374689403,0.8358297146257531
5,0.02498843064917462,0.02498843064917462,4.102314125416421,0.5412740910729836,0.4172984717025664,0.5821884753686388,0.5821884753686388,0.8369467877339126
6,0.024988217302882546,0.024988217302882546,4.103369727125962,0.5416832601807597,0.4176152760688977,0.5826228689676105,0.5826228689676105,0.836061168437678
7,0.02498821395278311,0.024988213952783115,4.1024221584029394,0.5413057099316353,0.4173220977725125,0.5822121976836695,0.5822121976836695,0.8361528401001527
8,0.024988213211096497,0.024988213211096497,4.102470748302934,0.541324338217657,0.417337555499951,0.5822342592512046,0.5822342592512046,0.8361354031138708
9,0.024988212022217078,0.024988212022217078,4.10219487296893,0.5412057824772499,0.4172493196371967,0.5821078827799779,0.5821078827799779,0.8362323053627762
10,0.024988171191143698,0.024988171191143698,4.090849308473626,0.5367399918309804,0.4137834009982313,0.5772849758041844,0.5772849758041844,0.8430886726734422
11,0.024987797395229328,0.024987797395229328,4.041065075894381,0.5172818851745701,0.39874079769813875,0.5562895185813614,0.5562895185813614,0.8795575980552212
12,0.024987453674209712,0.024987453674209716,3.9895490444899955,0.4976184260574851,0.38356137428968057,0.5350837311386719,0.5350837311386719,0.9224420664069335
13,0.024986422956469197,0.024986422956469197,3.898399536831694,0.46413464226628703,0.35779673264286016,0.4991364390597723,0.4991364390597723,1.0080994305256128
14,0.024985656098352082,0.024985656098352085,3.8456934048539106,0.4456368555408186,0.34357370053549396,0.4793444691493651,0.4793444691493651,1.1146998236536458
15,0.024985331054366122,0.024985331054366122,3.7996559965417327,0.4299451660312575,0.3314904548921217,0.46249661734805314,0.46249661734805314,1.2783336966205086
16,0.024984293949534303,0.024984293949534307,3.7085188408273146,0.4003000597156319,0.30857444898047814,0.43051070603150693,0.43051070603150693,1.6555841412486825
17,0.02498272172092775,0.024982721720927754,3.617801972825582,0.37262986145904486,0.2871419722787754,0.4006057702174174,0.4006057702174174,2.040439116039858
18,0.024980205860059442,0.024980205860059442,3.4997279126576943,0.33905573663641636,0.26124420928975084,0.36446757074925823,0.36446757074925823,2.6394904250604116
19,0.024977130546347554,0.024977130546347558,3.351941972939913,0.30094414310110623,0.23186248320608377,0.32344505390590905,0.32344505390590905,3.3195639418685765
