step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.10148665364662589,0.10805686363898942,6.963876869597865,0.7282444588207841,0.3727254642496495,0.494208693224785,0.3431245439774877,0.16647447102757906
1,0.04908011100378755,0.04862581710611879,11.6500097605747,1.4127462584348176,0.6455708849797518,0.8382133498017718,0.7467204291212391,0.3181623795879083
2,0.0429225131547451,0.039765015614925486,13.123643897938564,1.6460423934584387,0.7226206832143093,0.9631368945241985,0.885687917893257,0.3595445542579273
3,0.038164907909842054,0.034342433644646016,13.994388466975206,1.775548826815402,0.7658483934422504,1.0347366258272734,0.9638283401184013,0.4030181204935693
4,0.03368191260389637,0.031237535660719698,15.005906202361873,1.9006200854250097,0.8123997207180195,1.1086326815244143,1.0419417423856927,0.4446593957603801
5,0.031575724302577865,0.029381980030041686,15.939108287021893,2.046161748653461,0.8635837270482841,1.1900358809577656,1.1271703087191585,0.47805447355700004
6,0.0313971441645446,0.029529951461768643,15.916444374727096,2.0425204658968577,0.8628816465113808,1.188084413044235,1.1249350981633206,0.5573187527051809
7,0.030552063300771114,0.02913609260893022,16.192911904839963,2.082728478466081,0.876623875389763,1.211081718970726,1.1492088426508367,0.5667499825087945
8,0.02942514181235296,0.028574957609800264,17.452091382770003,2.249651246938562,0.9364671588735652,1.30979175235545,1.2524276516151691,0.6117177934917513
9,0.028627291439748397,0.028808516877525493,17.88326612660808,2.297054327961338,0.9536238381731186,1.3398840167052726,1.2840801294873183,0.7068418207335732
10,0.027775850051518003,0.028044340595689367,17.55862036631253,2.2412082552814145,0.93876086384891,1.3089438650774918,1.2509389574799135,0.7110296413299632
11,0.02604825095178169,0.026359335200996457,17.186048732964274,2.156168520310527,0.9146225183508438,1.266495251508692,1.2064202954879402,0.7225150937102662
12,0.02288784889254425,0.02334699984137218,17.277482699097096,2.159929712875927,0.9225933675211456,1.2706302487069752,1.2092741907023945,0.7746275153884458
13,0.020180064909189898,0.019931372214656205,17.3797816584977,2.193121502188503,0.9271289539423093,1.2846380360094698,1.2248898180308958,0.8720318210800942
